Código;Item;Estoque;Reservas;Preço;Localização;Código Adicional 1;Código Adicional 2;Código Adicional 3;Código Adicional 4;Código Adicional 5
01543-11360T;INT. KOMBI 1.4 06... REF AGUA;2.0;0.0;485.25;G/15;11360T;60153W;VW0111M;;
AB0001-ML;DISCO CORTE NORTON CLASS 115 (4.1/2)X 1.0 X 22.23 ;62.0;0.0;4.5;A/5 - 3 ;6783;;;;
02800-10886T;INT. NISSAN VERSA 1.6 16V 2012/.... 1.0 12V 2012/.;3.0;0.0;1409.46;B/A - 10 *;10886T;84120W-NF;DV6406M;;
16616T-45602SP;CAT. VECTRA  2.0  8V 96/04 2.2 MARÇO 98/2004;0.0;0.0;0.0;;;;;;
57132SP;CAT. ECOSPORT/FIESTA 1.0/1.6 2004/2008 ROCAN;0.0;0.0;0.0;H-07;16637T;;;;
11894T;SIL. VOYAGE 1.0 12V 3CIL 2017/2023 FLEX;0.0;0.0;0.0;;;;;;
47509SP;CAT. S10  2.4 /S10 2008/2010  C/TB MOTOR;0.0;0.0;0.0;H-05 ;;;;;
16691T;CAT. COROLLA 1.8 16V 2009/ FLEX C/ 2  CATAL. E SON;0.0;0.0;0.0;H-16;;16691T;;;
25601SP;CAT. DOBLO 1.8 8V 2004/2005 C/ TUBO MOTOR;0.0;0.0;0.0;H-20;;;;;
16711T-97626SPW;CAT. RENAULT MEGANE/GRAN TOUR 1.6 07/2013 2.0 05/2;0.0;0.0;0.0;H-15;;;;;
16712T-87412SP;CAT. C4 1.6V 16 HACTH 07/11 PEUGEOT 307 1.6/16V ;0.0;0.0;0.0;H-26;87412SP;16712T;;6219;10340
147506W;CAT. S-10 2.4 2013/.2016/TUBO MOTOR ;1.0;0.0;0.0;SL/49;;;;;
16734T;CAT. S10 2.4 2013/.... CAB.SIMPLES/DUPLA ;0.0;0.0;0.0;SL/49;;;;;
10046T;INT. FUSION 2.3 16V 2006...;1.0;0.0;0.0;F/13;;;;;
47861SPW-16737T;CAT. PRISMA/ONIX 1.4 1.0 8V 2013/... SECUNDARIO;0.0;0.0;0.0;H-09;;;;;
67620SPW;CAT. POLO/ VIRTUS MSI 1.6 16V 2017/.......;0.0;0.0;0.0;;;;;;
5709-T;CAT. NISSAN MARCH/VERSA 1.6 16V 2012/ C/ 2 CAT E @;0.0;0.0;0.0;H-19;16751;87820SP;DV6414C;;
5706-T;CAT. NISSAN MARCH/VERSA  1.0 12V FLEX 2012/...SEC@;1.0;0.0;0.0;H-20;16752T;87806SP;;;
27455SP;CAT. LINEA 1.9 16V 2009/2011 C/COLETOR;0.0;0.0;0.0;;;;;;
5902-T;CAT. PEUGEOT 206 HACTH/SW 1.6 16V 2002/2009 @;1.0;0.0;0.0;H-28;16824;87404;PG6806C;;
117424WR;CAT. NEW CIVIC 1.8 06/06 a 02/12 S/ EGR SAIDA CURT;0.0;0.0;0.0;H-10;17424SP;117424W;;10336OG;
27462SP-16851T;CAT. PALIO/GRAN SIENA 1.4 EVO 12/14 C/COL S/FL;1.0;0.0;0.0;H-13;27462SP;16851T;FT4427C;------------------;104120G
16865T;CAT. PEUGEOT 206 SW 1.4 8V  2004/2009 ;0.0;0.0;0.0;;;;;;
57465-16870T;CAT. ECOSPORT 1.6 SIGMA 2013/2017 C/COL. NEW FIEST;0.0;0.0;0.0;H-05 ;;;;;
01706-19364T-10115SP;INT. HONDA CIVIC 1.7 16V 01/06 C/FLANGE C/ABAFADOR;2.0;0.0;513.85;B/A - 09 *;19364T;10115W-NF;HO6207M;;
5704T;CAT. HB20 1.6 16V 12/15 CRETA 18 CERATO 1.6 13/17;0.0;0.0;825.0;H-16;16872T;87503W;HY7506C;20140;
18401SP;CAT. DE OXIDAÇÃO DIESEL MOTOR ATÉ 3.9LTS UNIVERSAL;0.0;0.0;0.0;;;;;;
25121SP;CAT. STILO 1.4 1.8 8/16V  2002/2005;0.0;0.0;0.0;;;;;;
25902SP;CAT. PALIO/SIENA 1.0 8V MAIO 02/DEZ04 ;0.0;0.0;0.0;;;;;;
27451SP;CAT. PALIO/IDEA/DOBLO/FIORINO  ECONOMY 09/14;0.0;0.0;0.0;H-11;;;;;
SA859-1;Parafuso Gaxeta Mola De Escape Gm Chevrolet Celta ;0.0;0.0;0.0;;;;;;
47472SP-16112T;CAT. COBALT 1.8 8V 2012/.. SPIN - SECUNDÁRIO ;0.0;0.0;0.0;H-13;47472SP;16112;GM2616C;5305;--------------------
55302SP;CAT. FIESTA 1.6 99/2002 CURIER 1.6 99/2001;0.0;0.0;0.0;C/84;;;;;
57454SP;CAT. COURIER 1.6 8V 09/13 C/COLETOR;0.0;0.0;0.0;;;;;;
5632;CAT. FORD KA 1.0/1.6 8V 2008/2013 PESCOÇO CURTO @;1.0;0.0;0.0;H-12;16860T;57462;FR3408C;;
01246-10153T;INT. FOCUS 1.6 2.0 03... ROCAM C/ 2 ABAFADORES;2.0;0.0;845.43;G/1 *;10153T;50141W;FR3101J;;
67802SP;CAT. SANTANA/QUANTUM 1.8 1997/2002 C/TB MOTOR;0.0;0.0;0.0;;;;;;
16746T;CAT. UP 1.0 12V 2   TSI   2016/......;0.0;0.0;0.0;;;;;;
85406SP-16705T;CAT. CITROEN XSARA PIXASSO 1.6 16V 01/12 SEM SONDA;1.0;0.0;0.0;H-19;;;;;
85601SP;CAT. XSARA PICASSO 2.0 16V 2001/2006;0.0;0.0;0.0;;;;;;
6201-T;CAT. PEUGEOT 208 TDS 2013... AIRCROS/ C3 (OBS)@;1.0;0.0;0.0;H-20;16672T;87484SP;CT6923C;6201;10397OG
5705;CAT. HB 20 1.0 3 CIL 2015/2019  SECUNDARIO @;1.0;0.0;850.77;H-08;16761T;87706W;HY7501C;;
87768SPW;CAT. HB20 CRETA 1.6 16V 16/19 SECUNDARIO;0.0;0.0;0.0;;;;;;
117422W;CAT. HONDA CITY 1.5 10/... / FIT 1.4 09/14 C/ERG;0.0;0.0;0.0;H-11;;;;;
19693T;"SIL UNIVERSAL TURBÃO  ENT. 1.7/8"" SAIDA 2.1/2"" ";1.0;0.0;263.9;B/1-56;19693T;;;;
97529SPW-16741T;CAT. RENAULT DUSTER 2.0 16V 2012 4X2 FLANGE TRES @;1.0;0.0;0.0;H-24;16471T;97529SP;;;
01257-10424T-50158SP;INT. FOCUS 1.6 2.0 16V HATCH / SEDAN 11...;0.0;0.0;725.97;C/31 ;10424T;50158M;FR3112M;;
5819-97630SP;CAT. RENAULT DUSTER 2.0 16V 4WD 2012 / 2016 4X4;0.0;0.0;0.0;H-18;5819;16742T;97630SP;;
00025-42CT;CONJ. SIL. CORCEL II / DEL REY 78/84;2.0;0.0;490.4;G/7 ;42CT;51530W;FR3001J-3002J;;
00039-42BT;CONJ. SIL. CORCEL II / DEL REY 85/...;1.0;0.0;553.29;G/6;42BT;51530W;FR3001J;;
00185-216CT-61101W;CONJ. SIL. GOL 1.6 AGUA 85/91;1.0;0.0;410.23;D/13 ;216C;61101W;VW0411T;;1674N
DFX101-5;KIT 5 DISCOS DISFLEX;10.0;0.0;418.6;D/13 ;;;;;
00186-285T;CONJ. SIL. VOY/PARATI/SAVEIRO 1.8 .../91;2.0;0.0;515.25;BA/19;;285CT;;;
KT4306-1;Flexível Gol Saveiro Voyage G5 G6 E Fox;5.0;0.0;550.4;BA/19;;;;;
00230-216AT;CONJ. SIL. VOY/PARATI/SAVEIRO 1.6 .../91;2.0;0.0;401.35;E/9 ;216A;61102W;VW0412T;;1684N
KT101;Kit 2 Juntas E Abraçadeiras Vw Fusca Com Porca E;0.0;0.0;0.0;E/9 ;;;;;
00440-254T;CONJ. SIL. GOL 1.0 PLUS 95/96;2.0;0.0;520.26;E/4 ;254T;61502W;VW0402T;;1520N
01840-10433T;INT. RENAULT DUSTER 2.0 12.. 4X4;2.0;0.0;452.23;F/6;10433T;;;;
10942T-FT4436M;INT. ARGO 1.0 3CC 2017/....FIREFLY;2.0;0.0;833.52;E/4 ;10942T;520186W-NF;FT4436M;;
